Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60091302,20.11332687,12.21619037,2.092910106,3.831273603,0.275949465,0.989467955,2.284429865,-2.079504977,-2.311930349,4.226981166,-0.141877041,-0.727460766,5.427609068,-5.107188649,-5.405878901,-0.152950639,6.03174362,-0.094958957,0.245881671,1.410009422,-0.224763908,-10.60529868,-3.887760046,3.063882371,-1.864167717,3.593197948,0.25056693,-0.991547779,-0.716487134,0.855431102,,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868361903,-2.875183528,7.207933018,2.253357413,11.02277394,1.59421129,18.51536871,11.26413324,-2.681080849,8.974879568,1.974168629,-0.665270518,-1.622886672,-0.541697283,0.082078929,-1.350178336,
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.709947122,-3.4905143,0.548367121,2.288440878,-0.107675791,-0.670689621,0.488389654,2.496667663,-3.335903578,-6.657532178,-2.310859752,-8.876967191,-26.41177043,-1.87781639,11.3594812,9.952817382,3.877850429,1.364723786,-1.085279543,-0.267944537,0.822113704,9.943764019,-0.431850563,7.187035527,11.0308358,7.58232901,9.890011506,7.116873151,-2.808634457,1.079168937,-0.220846531,4.70645928,1.292085644,1.219832785,-2.468715169,-5.816236718,-3.409903315,-5.287779594,
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.51715258,13.60715645,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.04881537,4.223026073,2.821641702,1.585156475,1.187204684,1.980930316,2.528133736,3.515368254,3.932164508,4.26134228,
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.442215406,-3.064448989,-1.330760035,-3.948745552,-2.931372609,-2.595335898,-2.598351728,-2.023786568,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.730359531,1.913451853,1.517844707,2.354988636,7.366656546,3.324673509,3.825117605,1.792359358,-2.005942911,-9.874029633,-4.375946682,-5.343136111,-3.847253205,-0.03966755,2.405291834,4.293204133,2.395988608,2.830284261,2.115060153,1.622746677,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,12.2823585,4.820665889,-3.852593946,7.955602851,5.686524498,-0.283200379,-11.85820453,-9.647786473,-1.642969858,-5.15447171,1.687705439,-3.309773418,2.672003384,-0.426492581,9.097890623,-1.176349044,3.085387956,0.550128248,0.594687305,-0.359873441,2.215490062,1.965362229,3.028341741,-0.346398267,3.257229543,-0.531166563,-1.541366923,3.064222576,6.946579661,3.33228991,4.023579707,2.089946161,3.284598798,-1.957091824,2.33328525,1.269584175,4.277759906,0.921316965,0.288859355,1.189303222,1.203929887,-0.930996524,0.177434958,
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,0.15611932,5.350448743,-13.38743048,8.433293402,13.21155345,-2.69925265,-12.18062864,-9.681446777,-1.249286149,-8.688889748,-19.67454451,-2.493563435,-8.216746736,5.91828004,11.67839789,-4.80060101,-2.481442038,-4.341973729,1.247257703,1.355678829,0.630164736,2.834828877,-4.765075601,-2.399652851,4.909503924,-3.778971439,-2.750614931,1.966528205,-0.037811251,-7.020583817,-4.916643016,-11.34550429,-10.2087752,-15.15125558,-5.914810324,2.187920775,2.257926243,4.410159045,4.214410536,4.512036858,1.909376768,-0.550570888,-0.090057226,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.72878832,-2.425908029,-6.788178178,8.437233741,8.896769815,-2.136468671,1.678466146,3.286928565,8.050283806,1.479498527,4.007465118,0.005811414,1.156920954,3.851782454,-1.587844785,-3.506387214,5.342986096,-5.916418784,8.577753769,-0.029632055,-6.668514496,-2.307755905,2.681981722,-0.051839979,-6.692587785,4.484309572,1.106051555,-2.603254489,-8.540824598,-3.874103165,7.614342819,6.487606324,6.802920861,4.505472299,-4.032155953,4.27459837,6.864754271,2.680954121,-4.455157264,-1.874912415,-5.447091545,-11.85477684,7.676545539,7.884937565,7.729475205,6.955547382,7.924238139,3.029477312,-6.854227333,9.300128322,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.609282344,-3.499841931,
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87089605,-40.74445259,-6.638468181,7.949920792,9.103521626,7.50696854,4.47964116,8.142263813,3.957617364,6.57036387,10.23552424,13.80965043,14.64713695,11.10148061,14.60861703,14.07663192,14.74561651,7.819137248,-13.56956831,2.582648081,4.728426774,6.914143645,2.82388904,3.07285853,2.736128724,-0.16150062,7.183757929,4.95169918,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095753115,0.240184563,-0.202616989,-3.428950886,3.259806828,-1.134692886,-2.870528545,1.524295609,0.869269598,-4.234377289,-2.836798492,0.803753378,1.20995401,-2.495376136,-5.173902703,,
