Income Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDI Rank (2017),Country,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
168,Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.357,..,0.362,..,0.357,..,0.367,..,0.371,..,0.386,..,0.388,..,0.413,..,0.421,..,0.426,..,0.442,..,0.443,..,0.441,..,0.439,..,0.438,..,0.439,..
68,Albania,0.575,..,0.523,..,0.51,..,0.531,..,0.547,..,0.57,..,0.585,..,0.568,..,0.582,..,0.602,..,0.614,..,0.627,..,0.633,..,0.642,..,0.651,..,0.659,..,0.669,..,0.679,..,0.683,..,0.686,..,0.693,..,0.699,..,0.7,..,0.705,..,0.707,..,0.711,..,0.717,..,0.722,..
85,Algeria,0.694,..,0.686,..,0.686,..,0.681,..,0.676,..,0.677,..,0.68,..,0.68,..,0.687,..,0.688,..,0.69,..,0.697,..,0.701,..,0.71,..,0.713,..,0.717,..,0.719,..,0.728,..,0.73,..,0.73,..,0.734,..,0.734,..,0.734,..,0.734,..,0.737,..,0.739,..,0.744,..,0.744,..
35,Andorra,0.904,..,0.902,..,0.897,..,0.891,..,0.89,..,0.891,..,0.897,..,0.91,..,0.915,..,0.921,..,0.92,..,0.922,..,0.926,..,0.937,..,0.942,..,0.947,..,0.95,..,0.947,..,0.931,..,0.924,..,0.916,..,0.91,..,0.91,..,0.914,..,0.92,..,0.924,..,0.927,..,0.931,..
147,Angola,0.456,..,0.453,..,0.45,..,0.403,..,0.363,..,0.443,..,0.468,..,0.485,..,0.483,..,0.473,..,0.483,..,0.496,..,0.518,..,0.52,..,0.526,..,0.537,..,0.554,..,0.587,..,0.583,..,0.613,..,0.603,..,0.601,..,0.602,..,0.613,..,0.62,..,0.625,..,0.617,..,0.613,..
70,Antigua and Barbuda,0.755,..,0.762,..,0.762,..,0.769,..,0.775,..,0.764,..,0.77,..,0.776,..,0.779,..,0.781,..,0.791,..,0.781,..,0.774,..,0.783,..,0.79,..,0.796,..,0.812,..,0.824,..,0.822,..,0.801,..,0.79,..,0.784,..,0.786,..,0.787,..,0.792,..,0.797,..,0.803,..,0.806,..
47,Argentina,0.701,..,0.719,..,0.736,..,0.743,..,0.75,..,0.743,..,0.749,..,0.759,..,0.762,..,0.755,..,0.752,..,0.743,..,0.717,..,0.73,..,0.742,..,0.757,..,0.767,..,0.78,..,0.784,..,0.773,..,0.785,..,0.793,..,0.791,..,0.793,..,0.788,..,0.788,..,0.783,..,0.788,..
83,Armenia,0.538,..,0.529,..,0.416,..,0.427,..,0.452,..,0.465,..,0.48,..,0.491,..,0.499,..,0.505,..,0.514,..,0.529,..,0.55,..,0.57,..,0.585,..,0.608,..,0.629,..,0.65,..,0.662,..,0.637,..,0.643,..,0.648,..,0.658,..,0.666,..,0.668,..,0.671,..,0.668,..,0.682,..
3,Australia,0.85,..,0.847,..,0.846,..,0.852,..,0.857,..,0.859,..,0.863,..,0.867,..,0.873,..,0.879,..,0.883,..,0.884,..,0.888,..,0.89,..,0.894,..,0.896,..,0.897,..,0.901,..,0.904,..,0.905,..,0.905,..,0.906,..,0.911,..,0.913,..,0.914,..,0.916,..,0.918,..,0.918,..
20,Austria,0.869,..,0.872,..,0.873,..,0.873,..,0.876,..,0.879,..,0.883,..,0.885,..,0.89,..,0.894,..,0.899,..,0.9,..,0.903,..,0.904,..,0.907,..,0.91,..,0.915,..,0.919,..,0.922,..,0.915,..,0.918,..,0.922,..,0.921,..,0.921,..,0.921,..,0.919,..,0.921,..,0.924,..
80,Azerbaijan,0.675,..,0.671,..,..,..,..,..,0.553,..,0.532,..,0.531,..,0.54,..,0.553,..,0.561,..,0.569,..,0.581,..,0.595,..,0.61,..,0.619,..,0.64,..,0.679,..,0.703,..,0.728,..,0.75,..,0.759,..,0.754,..,0.758,..,0.766,..,0.771,..,0.77,..,0.764,..,0.763,..
54,Bahamas,0.858,..,0.848,..,0.844,..,0.839,..,0.841,..,0.867,..,0.882,..,0.812,..,0.82,..,0.826,..,0.829,..,0.832,..,0.829,..,0.826,..,0.827,..,0.826,..,0.828,..,0.826,..,0.824,..,0.815,..,0.815,..,0.815,..,0.856,..,0.853,..,0.849,..,0.849,..,0.844,..,0.844,..
43,Bahrain,0.896,..,0.895,..,0.91,..,0.918,..,0.91,..,0.914,..,0.916,..,0.91,..,0.914,..,0.916,..,0.921,..,0.916,..,0.91,..,0.912,..,0.913,..,0.915,..,0.914,..,0.915,..,0.909,..,0.894,..,0.894,..,0.887,..,0.89,..,0.896,..,0.892,..,0.913,..,0.912,..,0.911,..
136,Bangladesh,0.39,..,0.391,..,0.396,..,0.4,..,0.403,..,0.408,..,0.41,..,0.414,..,0.419,..,0.423,..,0.428,..,0.432,..,0.436,..,0.441,..,0.446,..,0.454,..,0.463,..,0.473,..,0.482,..,0.488,..,0.495,..,0.502,..,0.51,..,0.517,..,0.522,..,0.53,..,0.537,..,0.545,..
58,Barbados,0.742,..,0.736,..,0.725,..,0.725,..,0.73,..,0.732,..,0.737,..,0.744,..,0.738,..,0.738,..,0.751,..,0.746,..,0.746,..,0.749,..,0.75,..,0.755,..,0.76,..,0.765,..,0.763,..,0.759,..,0.761,..,0.761,..,0.761,..,0.76,..,0.76,..,0.761,..,0.763,..,0.765,..
53,Belarus,0.67,..,0.668,..,0.652,..,0.64,..,0.621,..,0.605,..,0.61,..,0.626,..,0.639,..,0.645,..,0.654,..,0.662,..,0.671,..,0.683,..,0.7,..,0.715,..,0.729,..,0.741,..,0.755,..,0.754,..,0.766,..,0.774,..,0.776,..,0.775,..,0.778,..,0.769,..,0.764,..,0.77,..
17,Belgium,0.865,..,0.868,..,0.87,..,0.869,..,0.875,..,0.878,..,0.88,..,0.885,..,0.888,..,0.893,..,0.898,..,0.898,..,0.899,..,0.9,..,0.904,..,0.906,..,0.909,..,0.913,..,0.915,..,0.907,..,0.914,..,0.911,..,0.913,..,0.911,..,0.911,..,0.911,..,0.911,..,0.913,..
106,Belize,0.59,..,0.603,..,0.617,..,0.623,..,0.619,..,0.617,..,0.614,..,0.614,..,0.612,..,0.618,..,0.63,..,0.631,..,0.635,..,0.642,..,0.642,..,0.643,..,0.646,..,0.64,..,0.642,..,0.646,..,0.643,..,0.649,..,0.65,..,0.648,..,0.649,..,0.655,..,0.651,..,0.645,..
163,Benin,0.402,..,0.404,..,0.4,..,0.406,..,0.403,..,0.407,..,0.409,..,0.414,..,0.417,..,0.42,..,0.424,..,0.427,..,0.429,..,0.43,..,0.432,..,0.431,..,0.432,..,0.436,..,0.44,..,0.439,..,0.437,..,0.438,..,0.44,..,0.446,..,0.452,..,0.451,..,0.453,..,0.457,..
134,Bhutan,0.46,..,0.456,..,0.458,..,0.466,..,0.481,..,0.483,..,0.494,..,0.504,..,0.496,..,0.505,..,0.539,..,0.546,..,0.555,..,0.561,..,0.566,..,0.574,..,0.582,..,0.602,..,0.604,..,0.609,..,0.62,..,0.628,..,0.63,..,0.633,..,0.639,..,0.643,..,0.654,..,0.663,..
118,Bolivia (Plurinational State of),0.539,..,0.544,..,0.546,..,0.549,..,0.554,..,0.557,..,0.562,..,0.566,..,0.571,..,0.568,..,0.569,..,0.569,..,0.57,..,0.569,..,0.571,..,0.576,..,0.581,..,0.585,..,0.592,..,0.594,..,0.596,..,0.601,..,0.603,..,0.611,..,0.619,..,0.627,..,0.633,..,0.635,..
77,Bosnia and Herzegovina,0.415,..,0.403,..,0.398,..,0.4,..,0.421,..,0.454,..,0.531,..,0.582,..,0.642,..,0.65,..,0.651,..,0.652,..,0.657,..,0.661,..,0.669,..,0.674,..,0.68,..,0.689,..,0.698,..,0.695,..,0.694,..,0.695,..,0.696,..,0.702,..,0.704,..,0.71,..,0.715,..,0.72,..
101,Botswana,0.66,..,0.673,..,0.675,..,0.679,..,0.664,..,0.677,..,0.676,..,0.688,..,0.694,..,0.694,..,0.692,..,0.696,..,0.687,..,0.698,..,0.698,..,0.705,..,0.716,..,0.727,..,0.734,..,0.726,..,0.733,..,0.744,..,0.75,..,0.759,..,0.763,..,0.758,..,0.761,..,0.762,..
79,Brazil,0.706,..,0.697,..,0.696,..,0.7,..,0.707,..,0.711,..,0.712,..,0.714,..,0.711,..,0.708,..,0.713,..,0.711,..,0.713,..,0.714,..,0.721,..,0.724,..,0.728,..,0.735,..,0.74,..,0.738,..,0.748,..,0.753,..,0.755,..,0.759,..,0.758,..,0.75,..,0.744,..,0.744,..
