Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39864193,14.98666062,17.13271922,17.51366368,15.54927184,15.82535158,15.91134711,15.28342446,16.79270315,17.59771873,18.50441035,19.57276498,18.98011109,18.03140008,16.175408,,,,,,,,,,
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,21.82322278,22.12766961,,
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699639,54.62992131,60.40199346,58.10933117,61.88353785,60.25482013,44.05637617,52.36843489,56.02651474,56.91821975,53.36285398,46.20332557,41.93309265,42.64356678,42.16795333,,
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,46.63896606,44.54897913,45.37791992,44.85978769,45.58495315,44.85985848,45.8107078,47.4692068,47.98752338,46.43123333,49.93705491,44.23490667,25.36869849,23.72779535,22.94054337,22.79632167,17.37366346,18.10957749,15.34689204,16.53644764,19.39564563,21.73566042,23.10639541,24.05558276,24.66552309,25.0817045,25.30818687,25.3402999,25.16102051,24.41368311,24.93748652,24.48441056,22.91851208,23.06133093,21.50883929,21.76367333,21.14199931,20.37511966,21.3034938,
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09311915,14.54866093,14.91738207,15.4004329,15.73943275,15.82097648,16.09372842,15.46170097,15.48457135,14.38525912,13.45661226,12.4027752,11.02427102,10.2524993,9.90754123,9.783363312,9.844718945,9.938371328,,
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,58.36113441,56.92438509,54.71575693,52.18476696,,60.93665043,57.52867447,50.03734108,45.44888418,44.3567478,41.52627196,37.1903502,38.69386899,37.56152031,39.35890555,45.46726159,40.72760634,42.9322219,41.38837765,39.95382641,41.26493472,42.37212138,43.28052478,39.05565958,42.34559,47.69366676,45.59828617,45.94966393,47.27704081,48.64649458,51.89773633,52.84150563,51.72602185,54.68397623,46.24582914,49.39432412,54.35595587,53.47423965,51.5126028,49.75025372,40.97525155,39.17095209,41.49317908,45.01856524,
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.64361481,57.90311172,54.84022859,58.01797844,52.044956,52.54960329,58.05115773,57.46363264,55.02006743,52.77810987,43.90903333,41.44868095,43.59679347,46.78950109,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.8690651,23.05034438,
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.98340857,
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,11.53110189,10.37716942,11.58806231,13.06451254,13.31378154,10.41335824,10.22115171,10.91623254,11.72984946,12.9576021,13.80335868,14.23632716,15.25180155,13.91021196,14.56416008,13.4824356,12.70763717,12.52557479,12.69588325,12.24718856,12.51282197,12.65880381,13.51181839,13.82711393,12.8781391,13.04232482,13.19529465,13.05575514,14.5297874,18.46274484,17.75960835,19.15681322,19.48801069,16.13951881,14.47480131,14.11810451,15.53127512,15.86050267,16.18577645,17.48544113,18.87685395,19.27812567,
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.86701069,27.7359442,26.94912566,26.90382807,26.85994508,26.51026049,26.05444665,25.29250429,25.43611003,24.69728658,24.63840014,23.68430757,23.63172569,24.06312425,23.94932169,24.61991975,25.60671598,25.65311943,25.59353375,26.99903583,25.15141664,26.43612763,26.28416401,25.12798549,25.51481674,23.63296544,22.32760265,23.48938403,24.02148646,
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,33.99859576,33.60220584,33.84238345,32.9180396,32.93730588,32.54626093,31.766131,31.29685225,30.11462225,30.44744481,30.25928448,29.75262208,29.51826397,29.28321942,29.56086365,29.50525765,29.01589762,28.30376845,28.41340021,28.85153199,28.75200887,28.67638394,28.51066285,28.42859216,28.28480203,28.20874614,27.38807848,27.49837986,27.37376782,27.0742426,27.25937083,27.57263882,26.96021414,25.79284583,25.53499425,25.44743204,25.63396853,25.52494179,25.3646396,25.1791045,25.2018351,25.27695588,25.43356431,
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04774898,29.60329341,36.53658638,32.14872611,27.65190819,30.99634455,35.1496743,36.99141943,34.95611231,39.1035999,42.53830991,43.46263827,46.1542268,48.53984468,50.76903238,58.78778199,64.95823153,66.16032863,65.51852147,56.26195525,59.99481926,61.73399639,59.51735085,57.05441545,53.58685467,44.89178946,47.5579725,49.7017251,52.20872412,
Burundi,BDI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,9.404353292,9.757409475,10.79396538,11.62590176,12.11938432,12.58268557,11.74228713,12.18203993,14.30673175,14.71543365,11.67073792,12.71593387,14.29487882,14.48121361,12.58092087,11.82187606,12.12884746,15.71135304,14.81469295,17.26291847,17.32687566,17.53485167,18.98600615,20.12341271,19.5729092,16.80067223,11.78259217,13.89043156,14.69128471,16.11961054,15.53957069,15.57319108,15.80400049,15.74171231,16.32301916,16.9330036,15.31529124,17.15619422,15.41520528,16.91952896,15.38615628,14.80968132,15.75103764,15.58468197,15.49821159,11.76494577,11.62785236,,,
Belgium,BEL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14284945,25.85504283,26.1467628,25.62262889,24.79764644,24.82193616,24.26076533,23.72631061,23.10165177,22.82481919,22.44314898,22.28887281,22.30644378,21.76662593,20.5085654,20.72810089,20.61448201,20.08745288,19.87945143,19.69578586,19.76788282,19.52799863,19.61448126,19.59178319,
