Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.291705,-1.180848,-1.29538,-1.263366,-1.351042,-1.345281,-1.443609,-1.43289,-1.587331,-1.638287,-1.534796,-1.635723,-1.579179,-1.419888,-1.436761,-1.354784,-1.341994,-1.526352,-1.517341,-1.496648
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-2.175167,-2.135942,-2.231651,-1.567973,-1.082488,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454683,-1.448488,-1.36014,-1.38493,-1.331396,-1.322968,-1.226363,-1.33461,-1.457285
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,1,1,1,2,2,4,4,6,5,6,7,7,7,8,8,8,8,8,8,8
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,0,0,0,2.040816,11.73469,17.24138,9.803922,5.365854,5.339806,4.368932,3.827751,4.784689,4.739336,6.635071,7.582938,8.173077,8.173077,9.615385,9.134615,7.692307
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,2,2,3,5,5,7,6,7,8,9,9,10,11,11,11,10,10,10
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.301075,9.793815,5.076142,5.050505,5.050505,5.853659,2.439024,3.902439,0.9708738,0.4854369,0.9569378,0.952381,0.9478673,2.369668,1.895735,5.288462,6.25,3.365385,3.846154,4.326923
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.340507,0.3301791,0.3562942,0.3599147,0.2753387,0.2143146,0.207736,0.2063379,0.2291194,0.219334,0.2016608,0.1955542,0.194524,0.1868078,0.1606806,0.1611888,0.1622236,0.1657726,0.1629309,0.1572958
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.1876176,0.310279,0.3430663,0.2625481,0.3067439,0.2390624,0.2222518,0.257668,0.3061791,0.2717778,0.2398031,0.235486,0.238757,0.2255658,0.2208426,0.2315406,0.2311462,0.2218593,0.2282782,0.2380511
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.414042,-2.422996,-2.440187,-2.035389,-2.197809,-2.296179,-2.070934,-2.221302,-2.410581,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.800609,-2.74673
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2,2,2,2,2,4,4,4,3,3,4,4,4,5,6,6,6,6,6,6
