Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.518139318,2.509989353,2.476861475,2.79446944,3.599443545,3.922194258,3.855979051,3.842589928,3.718352681,3.397593382,3.27253116,3.168894009,2.959410382,2.839438339,3.141739325,,,,,,,,,,
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,11.37046543,11.10252604,,
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.646280794,3.445749994,4.378391184,6.259370843,3.222875779,2.890163321,3.873100814,3.661825665,3.999814424,4.681937283,3.912883549,3.612815774,3.39949164,3.461736791,5.109421785,4.541773802,4.167804797,4.403289594,4.827342815,4.763071572,5.685144864,6.75268057,6.580549588,,
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.857833552,4.58344068,4.723906746,4.532427471,4.31787582,4.098963311,4.066562328,4.124191029,4.177575835,4.425866485,4.904977467,5.296840973,4.997760661,5.197577487,5.452122414,5.661887679,4.614427702,5.059808763,5.325788985,5.671519417,5.684427418,6.14266532,6.175342385,
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.636643908,3.384146341,3.409516673,3.628834933,3.678342737,3.455717767,3.447543311,3.419653809,3.551403236,3.455604683,3.706261964,3.626091381,3.372282807,3.222086912,3.17685957,3.245211272,3.207885925,3.129674505,,
Arab World,ARB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,6.82317976,8.015023946,8.294854453,9.214027298,10.07901675,10.35847977,10.45994472,11.31785065,11.69243271,11.37819604,10.81180926,10.32284835,10.2413488,10.33769242,10.22590473,10.43057575,10.6562756,10.60948538,16.53938956,17.71461838,18.20660196,18.93669315,18.0777189,17.82344817,16.87385218,15.89114368,14.96404049,14.34207572,13.57324227,14.24686163,14.08141135,13.4519071,14.14438158,14.05166027,14.05722391,13.83719793,13.69573794,14.86510179,12.53324937,
United Arab Emirates,ARE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,0.910603125,1.12309252,2.744072022,3.4321661,3.057567543,3.728083743,6.412373069,7.92687202,8.769752627,9.14469269,8.927517175,8.275618545,8.774491087,8.840712483,8.166576883,7.493888516,7.423063916,7.583671501,7.843780607,6.587692746,6.772462657,6.637292654,7.895500625,8.631087315,8.557489537,9.072000292,13.31375919,13.06347632,12.26246108,11.51238292,10.60806614,9.656954628,9.025577573,8.600265388,9.195377117,7.968379432,7.71861928,7.682723649,7.544305388,7.777059562,8.848501161,8.984417898,8.78444022,8.915883009,
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,41.18416018,41.00858489,37.82402724,36.19621884,36.64543034,31.54474366,35.76285897,36.35807353,34.33397467,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.85265575,12.75240022,
Armenia,ARM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.424758532,9.68257532,9.666405536,9.206171059,10.28464998,10.63112611,11.30763414,
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,3.410338311,3.791964809,3.757254323,3.992588175,3.782575974,3.914898461,3.701088294,3.545871304,3.219414903,2.83539575,2.616198068,2.315637154,2.337658001,2.518409294,2.270155222,2.059064028,1.825066533,1.690209097,1.713172486,1.623426053,1.64215351,1.66870579,1.689189989,1.62410252,1.739580139,1.816976647,1.906103635,1.855861045,1.792945547,1.818830072,1.696271413,1.590253212,2.068154576,2.149375584,2.237728043,2.0577431,2.712815088,2.699136277,2.638585733,2.669454923,2.51551947,2.433334454,
Australia,AUS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.82709507,12.60057953,12.6117041,12.90622329,13.23899148,13.15797455,12.77618039,12.33533409,12.49470751,11.97840491,11.59373161,11.00322523,10.55958677,10.8703306,10.89044747,10.33607952,9.886795861,9.280843885,9.19560049,8.440060469,7.989864826,7.351572967,7.030140224,6.59796512,6.358216612,6.291092298,6.087333675,5.7839788,5.7774771,
Austria,AUT,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,22.25272899,21.62661962,21.98835987,21.3519438,21.20322679,20.75365111,20.13716398,20.06034968,19.69468689,20.01729875,20.00853921,19.41139573,19.50496559,19.40399005,19.58111484,19.17173908,18.47963516,17.46020694,17.35652011,17.90587952,17.63220929,17.80353465,17.726769,17.89093266,18.21496707,18.34109299,17.72678281,17.45317461,17.33646035,17.40781847,17.82343621,18.15364762,17.41746573,16.36199564,16.47850074,16.59560906,16.70612337,16.49572937,16.56001525,16.69398093,16.70960383,16.63499272,16.55910214,
Azerbaijan,AZE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63301501,16.65419162,21.87713948,17.90286624,12.66474513,11.53341457,10.42962746,8.393756135,8.324129512,6.042224047,5.292384646,6.187448265,7.430927835,8.636395438,8.283510351,6.48752246,5.772903308,4.98404471,4.705609759,5.525890763,4.808194984,3.988326101,4.23610388,4.215736826,4.707010697,4.990612375,4.930227786,4.699464584,4.822099021,
