Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3874728,175.3349014,168.770832,163.2931056,164.5691531,145.0731777,139.0456794,134.3021583,133.9690437,133.6425169,146.5004794,143.9631336,142.9609058,145.8892959,140.0625978,138.6071512,151.5994741,147.6746749,151.1144774,149.6099515,145.2469905,144.4702406,146.0488209,,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,103.1092028,116.3625416,91.58551067,99.22299408,99.8222097,81.39345542,100.0699578,89.36487377,81.32448462,88.77966099,81.5868017,74.7439089,67.19592475,55.1255266,47.65905543,51.2368808,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5471095,150.3357947,105.3017426,103.9012268,103.5799244,106.5909621,94.62515933,108.0600679,121.3647079,122.4461423,104.12363,99.98250785,91.80009861,86.81193078,79.33292751,62.88852079,53.37015528,52.25682145,,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,47.61059487,44.89542726,45.42552335,48.13748354,51.01107175,63.4540744,66.49104645,68.52503792,67.02060851,67.04722821,70.87232827,74.26708173,83.20210079,77.4517515,75.0949144,76.54341698,81.21856893,76.51019987,75.87371311,75.4078456,71.80100634,74.80986282,78.16132861,77.25057315,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,58.86443584,59.22571608,62.03400044,81.01455787,73.87991923,81.80749327,76.11256645,80.29794272,77.81961105,80.16895601,84.79077473,86.42281047,82.00104853,74.40094842,70.98312637,64.03062981,56.51120916,58.91026221,60.63501066,65.87822068,66.1064304,69.02293535,64.22461417,60.43744627,58.91366111,61.7774687,61.44407049,68.18917775,66.29293028,66.33987501,70.72624308,72.36947492,73.69931194,79.97916544,85.13455441,89.20125285,89.70010664,93.58630179,98.00294924,89.97309017,88.68647446,92.35038311,94.28451614,94.33205641,93.20399833,88.89695776,82.74041289,85.1792338,89.12735782,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226733,119.553124,119.4707027,136.7981529,148.513544,153.4619444,141.3090419,151.7982701,165.1430125,165.5411923,168.0502337,175.2213076,176.747648,172.8105269,161.8398077,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.22333196,30.76601992,
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767594,107.9731463,112.4293646,86.11485707,79.22956012,78.54774505,71.84245188,70.56047914,73.91851927,71.61719663,75.94344895,82.18767117,75.03721018,72.03895668,62.60919306,58.33644568,55.70286492,58.47886987,66.14730981,71.11087042,75.96674339,76.55619579,75.61168484,71.59326535,75.91788003,86.83015217,90.40307204,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5330739,205.6925996,200.5859375,221.0735586,227.6209677,216.5384615,247.7797513,160.1769912,156.4236111,155.7491289,174.689441,171.2948518,171.6951788,163.9939486,162.4808576,150.1577287,,
