code,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,corruptionSE,ruleOfLawSE,voice,regQual,govEffect,govEffectSE,stabilitySE,voiceSE,corruption,stability,regQualSE,ruleOfLaw,INCOMEPC_growth,INCOMEPC,trade,industrial,manu,agri,urban,HDI,EDU_IDX,Income_Index,life,kaopen,polity2,constant
CYP,1996,29.7,2.2,47.1,4.1,0.3738571,0.8573209999999999,1.171664,1.331288,0.2124291,0.1739037,1.035754,0.2620766,0.2088098,1.261967,0.38737540000000004,0.31174650000000004,-0.35248667200000006,15139.228030000002,140.84892539999998,20.14148756,9.408233598999999,4.578231719,68.161,0.789,0.662,0.8390000000000001,77.5,-1.0,10.0,1
CYP,1998,29.7,2.2,47.3,4.0,0.34546279999999996,0.9784921,1.2490629999999998,1.099473,0.22430830000000002,0.22834770000000004,0.9830766,0.2313764,0.21444610000000003,1.207978,0.22168449999999998,0.34072379999999997,4.817776179,15092.829590000001,134.90967769999997,19.23667021,8.933771019,4.33454234,68.405,0.8,0.6709999999999999,0.858,77.7,-1.0,10.0,1
CYP,2000,29.6,2.1,47.4,3.9,0.34280900000000003,1.039934,1.130084,1.121261,0.18462320000000002,0.2468684,1.057137,0.2569564,0.20788589999999998,1.137256,0.5154701,0.3153277,4.844168548,14388.3467,137.4949268,17.68611172,8.149425483,3.647293341,68.648,0.802,0.6759999999999999,0.8540000000000001,78.0,-1.0,10.0,1
CYP,2002,29.6,1.9,47.6,3.8,0.3161064,1.015691,1.350596,1.161737,0.21106799999999998,0.2175822,1.117119,0.21659120000000004,0.1991875,1.2369860000000001,0.19483989999999998,0.2600653,2.541045775,16093.218680000002,123.6413281,17.93014084,7.733660912,3.7882334319999997,68.694,0.816,0.701,0.8640000000000001,78.3,-1.0,10.0,1
CYP,2003,29.5,1.9,47.6,3.7,0.3020468,0.9688059000000001,1.183419,1.2335450000000001,0.20932119999999999,0.23066079999999997,0.9944629999999999,0.24125990000000003,0.19165870000000002,1.214373,0.5313178000000001,0.21630320000000003,1.3836034430000002,20252.242140000002,114.0045885,18.01298375,7.340433731,3.352902114,68.553,0.8240000000000001,0.718,0.867,78.4,0.0,10.0,1
CYP,2004,29.5,1.8,47.8,3.8,0.2872855,0.9229076999999999,1.127475,0.8902328000000002,0.186148,0.213736,0.9500313,0.20689659999999999,0.1768129,1.228797,0.3798992,0.22304369999999998,3.630815343,23792.61793,113.9036434,18.06741125,7.209138855,3.083331649,68.41,0.828,0.7240000000000001,0.871,78.5,1.0,10.0,1
CYP,2005,29.5,1.7,47.8,3.7,0.2786692,0.8870872999999999,1.157761,0.9068687,0.1827405,0.1976359,0.9558726999999999,0.19702650000000002,0.17688879999999998,1.2218360000000001,0.5162975000000001,0.1782228,3.353752826,24959.26591,111.91710330000001,17.89107096,6.802583403,2.738507021,68.268,0.831,0.7290000000000001,0.8740000000000001,78.6,2.0,10.0,1
CYP,2006,29.5,1.7,47.9,3.6,0.2741809,1.1050209999999998,1.267324,1.093416,0.1839469,0.2089212,1.052067,0.21117310000000003,0.16355329999999998,1.2770700000000001,0.5397544,0.22644210000000004,2.9812923039999997,26729.32675,109.80636270000001,17.83010271,6.131179836,2.275997155,68.125,0.8370000000000001,0.74,0.877,78.8,2.0,10.0,1
CYP,2007,29.5,1.6,48.1,3.6,0.2626058,1.119864,1.427616,1.080966,0.1859786,0.24101570000000003,1.066656,0.21771350000000003,0.1608021,1.331325,0.5371549,0.24707759999999998,2.88407631,31244.928010000003,111.2749392,18.19715868,5.74282846,2.023518152,67.982,0.846,0.755,0.885,78.9,2.0,10.0,1
CYP,2008,29.7,1.7,48.2,3.5,0.2640872,1.216479,1.532571,1.204644,0.1814963,0.2528814,1.084034,0.2128002,0.15934289999999998,1.367876,0.6396841,0.2555719,1.07653062,35391.04006,112.94589440000001,17.89975682,5.476376631,2.093687422,67.839,0.852,0.768,0.8859999999999999,79.1,2.0,10.0,1
CYP,2009,29.8,1.6,48.3,3.5,0.246402,1.212835,1.4183290000000002,0.9120450000000001,0.1640571,0.2315776,1.068028,0.1917171,0.1491989,1.3626040000000001,0.38917540000000006,0.2345118,-4.610633401,32105.86748,102.8016663,15.95616897,5.378843742999999,1.98901868,67.695,0.856,0.7809999999999999,0.88,79.2,2.0,10.0,1
CYP,2010,29.9,1.6,48.4,3.6,0.2435471,1.216249,1.53183,0.9748735000000001,0.16373929999999998,0.2380621,1.023391,0.1899682,0.14670899999999998,1.423306,0.45244480000000004,0.24627249999999998,-1.2804296290000001,30818.47993,107.6902989,14.71938925,5.113653145,2.10430213,67.551,0.85,0.767,0.8759999999999999,79.4,2.0,10.0,1
